ID,Category,Topic,Details,Location,Timestamp,Source
RES-20260708,Disease,Tropilaelaps Mite,Pathogen: Tropilaelaps clareae. Clinical Signs: Similar to Varroa but faster reproduction; deformed brood. Recommended Protocol: Brood break; Formic Acid. Risk Level: Critical (Emerging).,Kibwezi,2026-02-12,BeeYield University Research
RES-20260709,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260710,Apiary Management,Traditional Log Hive Inspection,Colony Status: Strong. Queen laying pattern solid. Stores: 25kg honey. Mite count: 2/100 bees.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260711,Genetics,Queen Performance Metric,Lineage: Mount Kenya-Adaptive. Hygienic score: 82%. Brood viability: 89%. Temperament: Aggressive.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260712,Harvesting,Orange Blossom Honey Harvest,Yield: 28.7kg per hive. Moisture content: 18.1%. HMF levels compliant. Extraction method: Drip.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260713,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 99%. Brood viability: 77%. Temperament: Aggressive.,Kisumu,2026-02-12,BeeYield University Research
RES-20260714,Genetics,Queen Performance Metric,Lineage: Baringo-Adaptive. Hygienic score: 76%. Brood viability: 92%. Temperament: Docile.,Baringo,2026-02-12,BeeYield University Research
RES-20260715,Sustainability,Sustainable Practice Implementation,Maintaining 20% natural habitat buffer zones.,Kakamega,2026-02-12,BeeYield University Research
RES-20260716,Genetics,Queen Performance Metric,Lineage: Turkana (Arid)-Adaptive. Hygienic score: 73%. Brood viability: 87%. Temperament: Defensive.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260717,Disease,Parafoulbrood,Pathogen: Bacillus para-alvei. Clinical Signs: Similar to EFB but larvae turn reddish-brown. Recommended Protocol: Antibiotics; Re-queening. Risk Level: Medium.,Aberdares,2026-02-12,BeeYield University Research
RES-20260718,Disease,Tracheal Mite,Pathogen: Acarapis woodi. Clinical Signs: K-wing (disconnected wings); bees unable to fly. Recommended Protocol: Menthol crystals; Formic acid; oil patties. Risk Level: High.,Aberdares,2026-02-12,BeeYield University Research
RES-20260719,Harvesting,Baobab Honey Harvest,Yield: 21.4kg per hive. Moisture content: 17.9%. HMF levels compliant. Extraction method: Centrifugal.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260720,Harvesting,Eucalyptus Honey Harvest,Yield: 8.6kg per hive. Moisture content: 21.6%. HMF levels compliant. Extraction method: Drip.,Kisumu,2026-02-12,BeeYield University Research
RES-20260721,Disease,Nosema Ceranae,Pathogen: Microsporidian Fungi. Clinical Signs: Dysentery; disjointed wings; slow spring buildup; K-wing. Recommended Protocol: Fumagillan (where legal); Nutrition optimization; Hive hygiene. Risk Level: Medium.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260722,Harvesting,Multifloral Honey Harvest,Yield: 25.5kg per hive. Moisture content: 21.6%. HMF levels compliant. Extraction method: Crush & Strain.,Aberdares,2026-02-12,BeeYield University Research
RES-20260723,Genetics,Queen Performance Metric,Lineage: Baringo-Adaptive. Hygienic score: 71%. Brood viability: 81%. Temperament: Aggressive.,Baringo,2026-02-12,BeeYield University Research
RES-20260724,Harvesting,Sunflower Honey Harvest,Yield: 16.4kg per hive. Moisture content: 19.5%. HMF levels compliant. Extraction method: Drip.,Narok,2026-02-12,BeeYield University Research
RES-20260725,Harvesting,Avocado Honey Harvest,Yield: 36.5kg per hive. Moisture content: 18.4%. HMF levels compliant. Extraction method: Centrifugal.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260726,Genetics,Queen Performance Metric,Lineage: Baringo-Adaptive. Hygienic score: 84%. Brood viability: 78%. Temperament: Docile.,Baringo,2026-02-12,BeeYield University Research
RES-20260727,Harvesting,Multifloral Honey Harvest,Yield: 52.8kg per hive. Moisture content: 21.9%. HMF levels compliant. Extraction method: Crush & Strain.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260728,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260729,Apiary Management,Langstroth Hive Inspection,Colony Status: Weak. Queen laying pattern drone-layer. Stores: 11kg honey. Mite count: 17/100 bees.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260730,Disease,Chalkbrood,Pathogen: Ascosphaera apis. Clinical Signs: Hard white/grey mummies in cells/entrance. Recommended Protocol: Increase ventilation; Re-queen with hygienic stock. Risk Level: Low.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260731,Disease,Tropilaelaps Mite,Pathogen: Tropilaelaps clareae. Clinical Signs: Similar to Varroa but faster reproduction; deformed brood. Recommended Protocol: Brood break; Formic Acid. Risk Level: Critical (Emerging).,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260732,Disease,Deformed Wing Virus (DWV),Pathogen: Virus (Varroa-vectored). Clinical Signs: Twisted/shriveled wings; shortened abdomen. Recommended Protocol: Control Varroa mites aggressively. Risk Level: Critical.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260733,Disease,Nosema Apis,Pathogen: Microsporidian Fungi. Clinical Signs: Faecal streaking on front of hive; crawling bees. Recommended Protocol: Comb replacement; improved ventilation. Risk Level: Medium.,Kitui,2026-02-12,BeeYield University Research
RES-20260734,Harvesting,Canola Honey Harvest,Yield: 32.4kg per hive. Moisture content: 17.2%. HMF levels compliant. Extraction method: Crush & Strain.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260735,Apiary Management,Warre Hive Inspection,Colony Status: Average. Queen laying pattern solid. Stores: 20kg honey. Mite count: 16/100 bees.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260736,Disease,Sacbrood Virus (SBV),Pathogen: Iflavirus. Clinical Signs: Larvae die upright; fluid-filled sac skin; gondola shape. Recommended Protocol: Re-queen; Reduce stress; Improve pollen. Self-limiting. Risk Level: Low.,Kisumu,2026-02-12,BeeYield University Research
RES-20260737,Apiary Management,Warre Hive Inspection,Colony Status: Average. Queen laying pattern drone-layer. Stores: 40kg honey. Mite count: 8/100 bees.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260738,Harvesting,Acacia Honey Harvest,Yield: 53.1kg per hive. Moisture content: 16.5%. HMF levels compliant. Extraction method: Drip.,Makueni,2026-02-12,BeeYield University Research
RES-20260739,Apiary Management,Traditional Log Hive Inspection,Colony Status: Swarming. Queen laying pattern solid. Stores: 18kg honey. Mite count: 21/100 bees.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260740,Sustainability,Sustainable Practice Implementation,Recycling old combs for candle making to reduce waste.,Kitui,2026-02-12,BeeYield University Research
RES-20260741,Disease,Sacbrood Virus (SBV),Pathogen: Iflavirus. Clinical Signs: Larvae die upright; fluid-filled sac skin; gondola shape. Recommended Protocol: Re-queen; Reduce stress; Improve pollen. Self-limiting. Risk Level: Low.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260742,Genetics,Queen Performance Metric,Lineage: Coastal Region-Adaptive. Hygienic score: 73%. Brood viability: 82%. Temperament: Docile.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260743,Genetics,Queen Performance Metric,Lineage: Mount Kenya-Adaptive. Hygienic score: 77%. Brood viability: 86%. Temperament: Aggressive.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260744,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 99%. Brood viability: 98%. Temperament: Docile.,Aberdares,2026-02-12,BeeYield University Research
RES-20260745,Apiary Management,Langstroth Hive Inspection,Colony Status: Queenless. Queen laying pattern solid. Stores: 16kg honey. Mite count: 6/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260746,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Baringo,2026-02-12,BeeYield University Research
RES-20260747,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Baringo,2026-02-12,BeeYield University Research
RES-20260748,Genetics,Queen Performance Metric,Lineage: Makueni-Adaptive. Hygienic score: 81%. Brood viability: 98%. Temperament: Docile.,Makueni,2026-02-12,BeeYield University Research
RES-20260749,Harvesting,Sunflower Honey Harvest,Yield: 34.5kg per hive. Moisture content: 19.7%. HMF levels compliant. Extraction method: Centrifugal.,Narok,2026-02-12,BeeYield University Research
RES-20260750,Apiary Management,Warre Hive Inspection,Colony Status: Swarming. Queen laying pattern solid. Stores: 18kg honey. Mite count: 3/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260751,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 87%. Brood viability: 88%. Temperament: Docile.,Aberdares,2026-02-12,BeeYield University Research
RES-20260752,Apiary Management,Top Bar Hive Inspection,Colony Status: Average. Queen laying pattern solid. Stores: 16kg honey. Mite count: 24/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260753,Sustainability,Sustainable Practice Implementation,Planting indigenous bee-friendly flora strips (3m width).,Kibwezi,2026-02-12,BeeYield University Research
RES-20260754,Apiary Management,Warre Hive Inspection,Colony Status: Swarming. Queen laying pattern drone-layer. Stores: 2kg honey. Mite count: 3/100 bees.,Makueni,2026-02-12,BeeYield University Research
RES-20260755,Disease,Kashmir Bee Virus (KBV),Pathogen: Virus. Clinical Signs: Similar to ABPV; highly virulent in presence of mites. Recommended Protocol: Mite control. Risk Level: High.,Aberdares,2026-02-12,BeeYield University Research
RES-20260756,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Strong. Queen laying pattern drone-layer. Stores: 4kg honey. Mite count: 11/100 bees.,Makueni,2026-02-12,BeeYield University Research
RES-20260757,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260758,Genetics,Queen Performance Metric,Lineage: Mombasa-Adaptive. Hygienic score: 78%. Brood viability: 89%. Temperament: Docile.,Mombasa,2026-02-12,BeeYield University Research
RES-20260759,Harvesting,Multifloral Honey Harvest,Yield: 48.4kg per hive. Moisture content: 20.8%. HMF levels compliant. Extraction method: Centrifugal.,Mombasa,2026-02-12,BeeYield University Research
RES-20260760,Disease,Acute Bee Paralysis Virus (ABPV),Pathogen: Virus (Varroa-vectored). Clinical Signs: Rapid mortality; often symptomless until collapse. Recommended Protocol: Mite control. Risk Level: High.,Baringo,2026-02-12,BeeYield University Research
RES-20260761,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260762,Harvesting,Baobab Honey Harvest,Yield: 5.9kg per hive. Moisture content: 17.0%. HMF levels compliant. Extraction method: Centrifugal.,Baringo,2026-02-12,BeeYield University Research
RES-20260763,Harvesting,Sunflower Honey Harvest,Yield: 9.9kg per hive. Moisture content: 20.3%. HMF levels compliant. Extraction method: Drip.,Kakamega,2026-02-12,BeeYield University Research
RES-20260764,Harvesting,Canola Honey Harvest,Yield: 48.5kg per hive. Moisture content: 17.2%. HMF levels compliant. Extraction method: Centrifugal.,Mombasa,2026-02-12,BeeYield University Research
RES-20260765,Harvesting,Canola Honey Harvest,Yield: 10.2kg per hive. Moisture content: 16.1%. HMF levels compliant. Extraction method: Drip.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260766,Disease,Parafoulbrood,Pathogen: Bacillus para-alvei. Clinical Signs: Similar to EFB but larvae turn reddish-brown. Recommended Protocol: Antibiotics; Re-queening. Risk Level: Medium.,Narok,2026-02-12,BeeYield University Research
RES-20260767,Apiary Management,Top Bar Hive Inspection,Colony Status: Critical. Queen laying pattern drone-layer. Stores: 12kg honey. Mite count: 14/100 bees.,Mombasa,2026-02-12,BeeYield University Research
RES-20260768,Harvesting,Croton Honey Harvest,Yield: 32.7kg per hive. Moisture content: 19.7%. HMF levels compliant. Extraction method: Drip.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260769,Apiary Management,Langstroth Hive Inspection,Colony Status: Strong. Queen laying pattern spotty. Stores: 16kg honey. Mite count: 5/100 bees.,Mombasa,2026-02-12,BeeYield University Research
RES-20260770,Genetics,Queen Performance Metric,Lineage: Turkana (Arid)-Adaptive. Hygienic score: 81%. Brood viability: 78%. Temperament: Defensive.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260771,Disease,Nosema Ceranae,Pathogen: Microsporidian Fungi. Clinical Signs: Dysentery; disjointed wings; slow spring buildup; K-wing. Recommended Protocol: Fumagillan (where legal); Nutrition optimization; Hive hygiene. Risk Level: Medium.,Aberdares,2026-02-12,BeeYield University Research
RES-20260772,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Baringo,2026-02-12,BeeYield University Research
RES-20260773,Genetics,Queen Performance Metric,Lineage: Makueni-Adaptive. Hygienic score: 76%. Brood viability: 85%. Temperament: Aggressive.,Makueni,2026-02-12,BeeYield University Research
RES-20260774,Disease,Chilled Brood,Pathogen: Environmental. Clinical Signs: Larvae dead on outer edges; gray/black color. Recommended Protocol: Reduce hive space; insulate. Risk Level: Low.,Aberdares,2026-02-12,BeeYield University Research
RES-20260775,Sustainability,Sustainable Practice Implementation,Integrated Pest Management (IPM) adopted to reduce chemical load.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260776,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 90%. Brood viability: 94%. Temperament: Aggressive.,Kisumu,2026-02-12,BeeYield University Research
RES-20260777,Harvesting,Canola Honey Harvest,Yield: 17.4kg per hive. Moisture content: 20.8%. HMF levels compliant. Extraction method: Centrifugal.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260778,Disease,Chalkbrood,Pathogen: Ascosphaera apis. Clinical Signs: Hard white/grey mummies in cells/entrance. Recommended Protocol: Increase ventilation; Re-queen with hygienic stock. Risk Level: Low.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260779,Harvesting,Lavender Honey Harvest,Yield: 3.3kg per hive. Moisture content: 16.9%. HMF levels compliant. Extraction method: Drip.,Kisumu,2026-02-12,BeeYield University Research
RES-20260780,Disease,Braula Coeca (Bee Louse),Pathogen: Wingless Fly. Clinical Signs: Steals food from queen/workers; tunneling in cappings. Recommended Protocol: Tobacco smoke; Camphor. Risk Level: Low.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260781,Harvesting,Croton Honey Harvest,Yield: 30.4kg per hive. Moisture content: 18.8%. HMF levels compliant. Extraction method: Drip.,Aberdares,2026-02-12,BeeYield University Research
RES-20260782,Apiary Management,Warre Hive Inspection,Colony Status: Weak. Queen laying pattern solid. Stores: 4kg honey. Mite count: 25/100 bees.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260783,Disease,Starvation,Pathogen: Management Failure. Clinical Signs: Bees dead with heads in cells; pile on bottom board. Recommended Protocol: Emergency feeding (fondant/sugar). Risk Level: Critical.,Aberdares,2026-02-12,BeeYield University Research
RES-20260784,Harvesting,Sunflower Honey Harvest,Yield: 39.4kg per hive. Moisture content: 16.3%. HMF levels compliant. Extraction method: Crush & Strain.,Kisumu,2026-02-12,BeeYield University Research
RES-20260785,Harvesting,Eucalyptus Honey Harvest,Yield: 42.9kg per hive. Moisture content: 16.6%. HMF levels compliant. Extraction method: Drip.,Kisumu,2026-02-12,BeeYield University Research
RES-20260786,Genetics,Queen Performance Metric,Lineage: Baringo-Adaptive. Hygienic score: 84%. Brood viability: 99%. Temperament: Docile.,Baringo,2026-02-12,BeeYield University Research
RES-20260787,Harvesting,Baobab Honey Harvest,Yield: 39.2kg per hive. Moisture content: 17.8%. HMF levels compliant. Extraction method: Drip.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260788,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 99%. Brood viability: 81%. Temperament: Docile.,Kisumu,2026-02-12,BeeYield University Research
RES-20260789,Disease,Pesticide Poisoning,Pathogen: Chemical Toxicity. Clinical Signs: Dead bees with extended tongues (probiscis); spinning. Recommended Protocol: Move hives; feed sugar syrup to dilute toxin. Risk Level: Critical.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260790,Disease,Tropilaelaps Mite,Pathogen: Tropilaelaps clareae. Clinical Signs: Similar to Varroa but faster reproduction; deformed brood. Recommended Protocol: Brood break; Formic Acid. Risk Level: Critical (Emerging).,Narok,2026-02-12,BeeYield University Research
RES-20260791,Apiary Management,Flow Hive Hive Inspection,Colony Status: Queenless. Queen laying pattern drone-layer. Stores: 25kg honey. Mite count: 19/100 bees.,Narok,2026-02-12,BeeYield University Research
RES-20260792,Genetics,Queen Performance Metric,Lineage: Kitui-Adaptive. Hygienic score: 98%. Brood viability: 77%. Temperament: Aggressive.,Kitui,2026-02-12,BeeYield University Research
RES-20260793,Harvesting,Orange Blossom Honey Harvest,Yield: 45.2kg per hive. Moisture content: 16.3%. HMF levels compliant. Extraction method: Centrifugal.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260794,Apiary Management,Warre Hive Inspection,Colony Status: Swarming. Queen laying pattern spotty. Stores: 4kg honey. Mite count: 21/100 bees.,Narok,2026-02-12,BeeYield University Research
RES-20260795,Sustainability,Sustainable Practice Implementation,Water harvesting for apiary hydration stations.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260796,Apiary Management,Langstroth Hive Inspection,Colony Status: Weak. Queen laying pattern solid. Stores: 2kg honey. Mite count: 22/100 bees.,Mombasa,2026-02-12,BeeYield University Research
RES-20260797,Genetics,Queen Performance Metric,Lineage: Rift Valley-Adaptive. Hygienic score: 83%. Brood viability: 87%. Temperament: Docile.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260798,Genetics,Queen Performance Metric,Lineage: Mount Kenya-Adaptive. Hygienic score: 85%. Brood viability: 76%. Temperament: Docile.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260799,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 87%. Brood viability: 95%. Temperament: Docile.,Aberdares,2026-02-12,BeeYield University Research
RES-20260800,Harvesting,Avocado Honey Harvest,Yield: 54.7kg per hive. Moisture content: 21.6%. HMF levels compliant. Extraction method: Crush & Strain.,Kakamega,2026-02-12,BeeYield University Research
RES-20260801,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Baringo,2026-02-12,BeeYield University Research
RES-20260802,Harvesting,Avocado Honey Harvest,Yield: 33.5kg per hive. Moisture content: 20.1%. HMF levels compliant. Extraction method: Centrifugal.,Mombasa,2026-02-12,BeeYield University Research
RES-20260803,Disease,Chilled Brood,Pathogen: Environmental. Clinical Signs: Larvae dead on outer edges; gray/black color. Recommended Protocol: Reduce hive space; insulate. Risk Level: Low.,Narok,2026-02-12,BeeYield University Research
RES-20260804,Disease,Greater Wax Moth,Pathogen: Galleria mellonella. Clinical Signs: Silk tunnels in comb; destroyed wax; bald brood. Recommended Protocol: Store frames with Para-moth; freeze frames; strong colonies. Risk Level: Medium.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260805,Harvesting,Canola Honey Harvest,Yield: 34.8kg per hive. Moisture content: 20.8%. HMF levels compliant. Extraction method: Crush & Strain.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260806,Apiary Management,Flow Hive Hive Inspection,Colony Status: Weak. Queen laying pattern solid. Stores: 37kg honey. Mite count: 17/100 bees.,Makueni,2026-02-12,BeeYield University Research
RES-20260807,Genetics,Queen Performance Metric,Lineage: Rift Valley-Adaptive. Hygienic score: 95%. Brood viability: 93%. Temperament: Aggressive.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260808,Disease,Tracheal Mite,Pathogen: Acarapis woodi. Clinical Signs: K-wing (disconnected wings); bees unable to fly. Recommended Protocol: Menthol crystals; Formic acid; oil patties. Risk Level: High.,Makueni,2026-02-12,BeeYield University Research
RES-20260809,Harvesting,Orange Blossom Honey Harvest,Yield: 43.1kg per hive. Moisture content: 19.0%. HMF levels compliant. Extraction method: Drip.,Aberdares,2026-02-12,BeeYield University Research
RES-20260810,Harvesting,Lavender Honey Harvest,Yield: 57.0kg per hive. Moisture content: 17.4%. HMF levels compliant. Extraction method: Crush & Strain.,Baringo,2026-02-12,BeeYield University Research
RES-20260811,Apiary Management,Warre Hive Inspection,Colony Status: Strong. Queen laying pattern solid. Stores: 39kg honey. Mite count: 9/100 bees.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260812,Sustainability,Sustainable Practice Implementation,Selecting for local varroa-resistant genetics.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260813,Harvesting,Canola Honey Harvest,Yield: 58.3kg per hive. Moisture content: 20.2%. HMF levels compliant. Extraction method: Drip.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260814,Disease,Sacbrood Virus (SBV),Pathogen: Iflavirus. Clinical Signs: Larvae die upright; fluid-filled sac skin; gondola shape. Recommended Protocol: Re-queen; Reduce stress; Improve pollen. Self-limiting. Risk Level: Low.,Mombasa,2026-02-12,BeeYield University Research
RES-20260815,Sustainability,Sustainable Practice Implementation,Crop rotation with legumes to boost soil N and nectar.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260816,Harvesting,Canola Honey Harvest,Yield: 7.6kg per hive. Moisture content: 16.3%. HMF levels compliant. Extraction method: Centrifugal.,Aberdares,2026-02-12,BeeYield University Research
RES-20260817,Sustainability,Sustainable Practice Implementation,Integrated Pest Management (IPM) adopted to reduce chemical load.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260818,Sustainability,Sustainable Practice Implementation,Selecting for local varroa-resistant genetics.,Aberdares,2026-02-12,BeeYield University Research
RES-20260819,Harvesting,Acacia Honey Harvest,Yield: 31.9kg per hive. Moisture content: 20.3%. HMF levels compliant. Extraction method: Drip.,Mombasa,2026-02-12,BeeYield University Research
RES-20260820,Disease,Tropilaelaps Mite,Pathogen: Tropilaelaps clareae. Clinical Signs: Similar to Varroa but faster reproduction; deformed brood. Recommended Protocol: Brood break; Formic Acid. Risk Level: Critical (Emerging).,Kitui,2026-02-12,BeeYield University Research
RES-20260821,Harvesting,Orange Blossom Honey Harvest,Yield: 42.0kg per hive. Moisture content: 19.5%. HMF levels compliant. Extraction method: Crush & Strain.,Narok,2026-02-12,BeeYield University Research
RES-20260822,Genetics,Queen Performance Metric,Lineage: Kitui-Adaptive. Hygienic score: 80%. Brood viability: 90%. Temperament: Defensive.,Kitui,2026-02-12,BeeYield University Research
RES-20260823,Apiary Management,Flow Hive Hive Inspection,Colony Status: Swarming. Queen laying pattern solid. Stores: 27kg honey. Mite count: 14/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260824,Apiary Management,Top Bar Hive Inspection,Colony Status: Queenless. Queen laying pattern drone-layer. Stores: 30kg honey. Mite count: 3/100 bees.,Kitui,2026-02-12,BeeYield University Research
RES-20260825,Genetics,Queen Performance Metric,Lineage: Makueni-Adaptive. Hygienic score: 98%. Brood viability: 97%. Temperament: Defensive.,Makueni,2026-02-12,BeeYield University Research
RES-20260826,Harvesting,Orange Blossom Honey Harvest,Yield: 21.9kg per hive. Moisture content: 19.2%. HMF levels compliant. Extraction method: Drip.,Kakamega,2026-02-12,BeeYield University Research
RES-20260827,Genetics,Queen Performance Metric,Lineage: Coastal Region-Adaptive. Hygienic score: 83%. Brood viability: 92%. Temperament: Aggressive.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260828,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Average. Queen laying pattern drone-layer. Stores: 2kg honey. Mite count: 16/100 bees.,Kitui,2026-02-12,BeeYield University Research
RES-20260829,Apiary Management,Warre Hive Inspection,Colony Status: Average. Queen laying pattern solid. Stores: 32kg honey. Mite count: 10/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260830,Genetics,Queen Performance Metric,Lineage: Kakamega-Adaptive. Hygienic score: 93%. Brood viability: 77%. Temperament: Aggressive.,Kakamega,2026-02-12,BeeYield University Research
RES-20260831,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Baringo,2026-02-12,BeeYield University Research
RES-20260832,Harvesting,Avocado Honey Harvest,Yield: 38.9kg per hive. Moisture content: 16.5%. HMF levels compliant. Extraction method: Drip.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260833,Sustainability,Sustainable Practice Implementation,Using swarm traps to capture local genetics instead of packaged bees.,Makueni,2026-02-12,BeeYield University Research
RES-20260834,Sustainability,Sustainable Practice Implementation,Maintaining 20% natural habitat buffer zones.,Baringo,2026-02-12,BeeYield University Research
RES-20260835,Genetics,Queen Performance Metric,Lineage: Kibwezi-Adaptive. Hygienic score: 75%. Brood viability: 76%. Temperament: Docile.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260836,Disease,Powdery Scale (AFB Variant),Pathogen: Paenibacillus larvae (subsp.). Clinical Signs: Hard brittle scale on cell bottom; resistant to removal. Recommended Protocol: Sterilization of frames; antibiotics ineffective. Risk Level: Critical.,Kitui,2026-02-12,BeeYield University Research
RES-20260837,Sustainability,Sustainable Practice Implementation,Integrated Pest Management (IPM) adopted to reduce chemical load.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260838,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Average. Queen laying pattern spotty. Stores: 29kg honey. Mite count: 23/100 bees.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260839,Apiary Management,Top Bar Hive Inspection,Colony Status: Swarming. Queen laying pattern drone-layer. Stores: 11kg honey. Mite count: 4/100 bees.,Kisumu,2026-02-12,BeeYield University Research
RES-20260840,Genetics,Queen Performance Metric,Lineage: Narok-Adaptive. Hygienic score: 74%. Brood viability: 86%. Temperament: Aggressive.,Narok,2026-02-12,BeeYield University Research
RES-20260841,Genetics,Queen Performance Metric,Lineage: Nairobi Peri-Urban-Adaptive. Hygienic score: 89%. Brood viability: 84%. Temperament: Docile.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260842,Sustainability,Sustainable Practice Implementation,Recycling old combs for candle making to reduce waste.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260843,Harvesting,Multifloral Honey Harvest,Yield: 37.9kg per hive. Moisture content: 19.0%. HMF levels compliant. Extraction method: Crush & Strain.,Kitui,2026-02-12,BeeYield University Research
RES-20260844,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 97%. Brood viability: 93%. Temperament: Docile.,Aberdares,2026-02-12,BeeYield University Research
RES-20260845,Sustainability,Sustainable Practice Implementation,Organic certification protocols (3km radius minimal spray).,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260846,Apiary Management,Langstroth Hive Inspection,Colony Status: Critical. Queen laying pattern solid. Stores: 25kg honey. Mite count: 5/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260847,Apiary Management,Warre Hive Inspection,Colony Status: Strong. Queen laying pattern spotty. Stores: 27kg honey. Mite count: 10/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260848,Apiary Management,Traditional Log Hive Inspection,Colony Status: Critical. Queen laying pattern spotty. Stores: 16kg honey. Mite count: 19/100 bees.,Narok,2026-02-12,BeeYield University Research
RES-20260849,Harvesting,Macadamia Honey Harvest,Yield: 8.6kg per hive. Moisture content: 18.3%. HMF levels compliant. Extraction method: Crush & Strain.,Narok,2026-02-12,BeeYield University Research
RES-20260850,Disease,Greater Wax Moth,Pathogen: Galleria mellonella. Clinical Signs: Silk tunnels in comb; destroyed wax; bald brood. Recommended Protocol: Store frames with Para-moth; freeze frames; strong colonies. Risk Level: Medium.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
